"Track URI";"Track Name";"Artist URI(s)";"Artist Name(s)";"Album URI";"Album Name";"Album Artist URI(s)";"Album Artist Name(s)";"Album Release Date";"Album Image URL";"Disc Number";"Track Number";"Track Duration (ms)";"Track Preview URL";"Explicit";"Popularity";"Added By";"Added At"
"spotify:track:1UBQ5GK8JaQjm5VbkBZY66";"Sharp Dressed Man - 2008 Remaster";"spotify:artist:2AM4ilv6UzW0uMRuqKtDgN";"ZZ Top";"spotify:album:5LMGAYhn2ywaxGZdtmXGpw";"Eliminator";"spotify:artist:2AM4ilv6UzW0uMRuqKtDgN";"ZZ Top";"1983-03-23";"https://i.scdn.co/image/ab67616d0000b27328a00032ff3b86af3d7e0e54";"1";"3";"258026";"https://p.scdn.co/mp3-preview/5be9776759c263721e1f75d03a12cc033a15fd99?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"73";"spotify:user:";"2021-04-09T06:43:21Z"
"spotify:track:0qgrrDnUUhyxpxbBznUnzg";"18 and Life";"spotify:artist:4opTS86dN9uO313J9CE8xg";"Skid Row";"spotify:album:0kSTuMp9GpX9pJR45Bksgi";"Skid Row";"spotify:artist:4opTS86dN9uO313J9CE8xg";"Skid Row";"1989-01-24";"https://i.scdn.co/image/ab67616d0000b273ae63b58e90bef8888658ae21";"1";"5";"229960";"https://p.scdn.co/mp3-preview/902c83db7111a73bb508dd5d981621be8cf3e5e8?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"69";"spotify:user:";"2021-04-09T06:43:21Z"
"spotify:track:4OROzZUy6gOWN4UGQVaZMF";"The Trooper - 2015 Remaster";"spotify:artist:6mdiAmATAx73kdxrNrnlao";"Iron Maiden";"spotify:album:7I9Wh2IgvI3Nnr8Z1ZSWby";"Piece of Mind (2015 Remaster)";"spotify:artist:6mdiAmATAx73kdxrNrnlao";"Iron Maiden";"1983";"https://i.scdn.co/image/ab67616d0000b2732277d1a849a63c7075ec38ff";"1";"5";"252733";"https://p.scdn.co/mp3-preview/0a88f3e6d8e5dfe20807b9a4ee1cf1f30fa871d2?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"72";"spotify:user:";"2021-04-09T06:43:21Z"
"spotify:track:05RgAMGypEvqhNs5hPCbMS";"Panama - 2015 Remaster";"spotify:artist:2cnMpRsOVqtPMfq7YiFE6K";"Van Halen";"spotify:album:3REUXdj5OPKhuDTrTtCBU0";"1984 (Remastered)";"spotify:artist:2cnMpRsOVqtPMfq7YiFE6K";"Van Halen";"1984-01-04";"https://i.scdn.co/image/ab67616d0000b273b414c63fb435b622238c15ed";"1";"3";"210226";"https://p.scdn.co/mp3-preview/53ee9027b3077e63f7814de220bfc094b044a67d?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"74";"spotify:user:";"2021-04-09T06:43:21Z"
"spotify:track:2vNw57KPaYDzkyPxXYUORX";"Nightrain";"spotify:artist:3qm84nBOXUEQ2vnTfUTTFC";"Guns N' Roses";"spotify:album:3I9Z1nDCL4E0cP62flcbI5";"Appetite For Destruction";"spotify:artist:3qm84nBOXUEQ2vnTfUTTFC";"Guns N' Roses";"1987-07-21";"https://i.scdn.co/image/ab67616d0000b27368384dd85fd5e95831252f60";"1";"3";"266173";"";"false";"62";"spotify:user:";"2021-04-09T06:43:21Z"
"spotify:track:5XcZRgJv3zMhTqCyESjQrF";"Poison";"spotify:artist:3EhbVgyfGd7HkpsagwL9GS";"Alice Cooper";"spotify:album:033cvSPAuSU5ArRfIgQSDU";"Trash";"spotify:artist:3EhbVgyfGd7HkpsagwL9GS";"Alice Cooper";"1989-07-25";"https://i.scdn.co/image/ab67616d0000b2735d149c05419231f335e35bb7";"1";"1";"270080";"https://p.scdn.co/mp3-preview/9974e5f534cce09666a7013c639edc451f1652e8?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"73";"spotify:user:";"2021-04-09T06:43:21Z"
"spotify:track:17lu4tymfnhmcIDlzBbtAb";"For Those About to Rock (We Salute You)";"spotify:artist:711MCceyCBcFnzjGY4Q7Un";"AC/DC";"spotify:album:7DUvURQ0wfA1kgG8j99frR";"For Those About to Rock (We Salute You)";"spotify:artist:711MCceyCBcFnzjGY4Q7Un";"AC/DC";"1981-11-23";"https://i.scdn.co/image/ab67616d0000b2730d025344564dfda2e57f9ffd";"1";"1";"344240";"https://p.scdn.co/mp3-preview/cb3a4e853450e240511a33febf7f8a09b449e4ea?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"65";"spotify:user:";"2021-04-09T06:43:21Z"
"spotify:track:5Fh5nmTu6TEk0ze8QAU7og";"Yankee Rose";"spotify:artist:0KyCXNSa7ZMb5LydfKbLG3";"David Lee Roth";"spotify:album:0Ali88C44gQdI065upsgKU";"Eat 'Em And Smile";"spotify:artist:0KyCXNSa7ZMb5LydfKbLG3";"David Lee Roth";"1986";"https://i.scdn.co/image/ab67616d0000b273028e1eccfeb4fd8eaf35de0d";"1";"1";"234706";"https://p.scdn.co/mp3-preview/9506d844705f473c2be34ba45941e607dff2a782?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"53";"spotify:user:";"2021-04-09T06:43:21Z"
"spotify:track:65gqhwfZ5E6upb1HahiVGM";"Neon Knights - 2009 Remaster";"spotify:artist:5M52tdBnJaKSvOpJGz8mfZ";"Black Sabbath";"spotify:album:0Dj2B19o99FcJii6aPvMTr";"Heaven & Hell";"spotify:artist:5M52tdBnJaKSvOpJGz8mfZ";"Black Sabbath";"1980-04-25";"https://i.scdn.co/image/ab67616d0000b2731714d5e8b43f9e63572d550d";"1";"1";"231693";"https://p.scdn.co/mp3-preview/52956388913f996144bdd69e06d54ab2ac7438ad?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"42";"spotify:user:";"2021-04-09T06:43:21Z"
"spotify:track:2KCJYwlBWxdlwyIYckIf6V";"Rag Doll";"spotify:artist:7Ey4PD4MYsKc5I2dolUwbH";"Aerosmith";"spotify:album:3XYqOJI1YlX40kJTdzFEzp";"Permanent Vacation";"spotify:artist:7Ey4PD4MYsKc5I2dolUwbH";"Aerosmith";"1987-01-01";"https://i.scdn.co/image/ab67616d0000b273a8a965df6a845b265ee19106";"1";"3";"265693";"";"false";"61";"spotify:user:";"2021-04-09T06:43:21Z"
