"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5FVd6KXrgO9B3JPmC8OPst","Do I Wanna Know?","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","1","272394","https://p.scdn.co/mp3-preview/73e00a0a59c897b16d0fe30df43f7aeb2997079d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:0y1QJc3SJVPKJ1OvFmFqe6","Way down We Go","spotify:artist:7jdFEYD2LTYjfwxOdlVjmc","KALEO","spotify:album:4he4SQup02hEIQdwhZlZlk","A/B","spotify:artist:7jdFEYD2LTYjfwxOdlVjmc","KALEO","2016-06-10","https://i.scdn.co/image/ab67616d0000b273f793a842c1642b09a768a63b","1","2","213706","https://p.scdn.co/mp3-preview/d98c7057adac754607c1a2ab8c72113c3e7a2338?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn","Stressed Out","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3cQO7jp5S9qLBoIVtbkSM1","Blurryface","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2015-05-15","https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3","1","2","202333","https://p.scdn.co/mp3-preview/0e0951b811f06fea9162eb7e95e4bae4802d97af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:4eSHBywQpd8lYXPB8xCaOe","Howlin' for You","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","spotify:album:0JZkzjywipWhUbdYPCEaMo","Brothers","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","2010-05-17","https://i.scdn.co/image/ab67616d0000b273544ad3964da79c1e9d475d7a","1","4","191800","","false","27","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:7oVEtyuv9NBmnytsCIsY5I","BURN IT DOWN","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:4XHIjbhjRmqWlosjj5rqSI","LIVING THINGS","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2012-06-20","https://i.scdn.co/image/ab67616d0000b273987fb4c5ec8790e9f637a4a4","1","3","230253","https://p.scdn.co/mp3-preview/34ae5b62f7758e3326a1c1964f5768e4ed0e27a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:5N7d8uxMeuO4HdncbkuhSB","Sail","spotify:artist:4njdEjTnLfcGImKZu1iSrz","AWOLNATION","spotify:album:7I7yoD3GPwYuQcuKS8ZQuM","Megalithic Symphony","spotify:artist:4njdEjTnLfcGImKZu1iSrz","AWOLNATION","2011-03-15","https://i.scdn.co/image/ab67616d0000b273cca44c0531b9025de809d1b9","1","10","259093","","false","2","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:383QXk8nb2YrARMUwDdjQS","Psycho","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:2wart5Qjnvx1fd7LPdQxgJ","Drones","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2015-06-04","https://i.scdn.co/image/ab67616d0000b273808846f0223d97d5963c420d","1","3","316717","https://p.scdn.co/mp3-preview/9825aad9fc20222cfd2db3eba32469181b90c8d8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:0AUyNF6iFxMNQsNx2nhtrw","Blood // Water","spotify:artist:4ZgQDCtRqZlhLswVS6MHN4","grandson","spotify:album:2ih65NyzXsPwEsI1sMdyIy","Blood // Water","spotify:artist:4ZgQDCtRqZlhLswVS6MHN4","grandson","2018-05-04","https://i.scdn.co/image/ab67616d0000b27397d11a89e5fd70347099f7c9","1","1","216720","https://p.scdn.co/mp3-preview/2bc0571f124c60ca0f81c09be9978b0e5eb9f316?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:2oaK4JLVnmRGIO9ytBE1bt","Dark Necessities","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:43otFXrY0bgaq5fB3GrZj6","The Getaway","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2016-06-17","https://i.scdn.co/image/ab67616d0000b27358406b3f1ac3ceaff7a64fef","1","2","302000","https://p.scdn.co/mp3-preview/603321bf69cb0fd27c44ae875ff73c6dfc856311?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:04aAxqtGp5pv12UXAg4pkq","Centuries","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","spotify:album:022DrG7Wp2PSCwzuD0bSzT","American Beauty/American Psycho","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","2015-01-20","https://i.scdn.co/image/ab67616d0000b2733cf1c1dbcfa3f1ab7282719b","1","3","228360","","false","81","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:1eadPrzB2P0ikQcqhKSAtv","Zombie","spotify:artist:0eI3X5rAzHRZVe5FPk4MN1","Bad Wolves","spotify:album:5hDwXxawZfYuNxylzGXcqt","Disobey","spotify:artist:0eI3X5rAzHRZVe5FPk4MN1","Bad Wolves","2018-05-11","https://i.scdn.co/image/ab67616d0000b27398e5206660da079d853eba62","1","4","254805","https://p.scdn.co/mp3-preview/4978147ac417f06049825616fdd66cabdb566ae7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:0pqnGHJpmpxLKifKRmU6WP","Believer","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:33pt9HBdGlAbRGBHQgsZsU","Evolve","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2017-06-23","https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a","1","4","204346","","false","87","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:3kdMzXOcrDIdSWLdONHNK5","The Sky Is A Neighborhood","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:6KMkuqIwKkwUhUYRPL6dUc","Concrete and Gold","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2017-09-15","https://i.scdn.co/image/ab67616d0000b2735a1c14ac0fba3e842600d6bd","1","4","244573","https://p.scdn.co/mp3-preview/65a1bca5e8df144d80f68dfbdec5ddc02941f178?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:5G1sTBGbZT5o4PNRc75RKI","Lonely Boy","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","spotify:album:5DLhV9yOvZ7IxVmljMXtNm","El Camino","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","2011-12-06","https://i.scdn.co/image/ab67616d0000b2736a21b97de47168df4f0c1993","1","1","193653","https://p.scdn.co/mp3-preview/6b462b2d89ed30b669470c39c65b0f04d6ac740b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:5BB0Jzw60KyfSTyjJqtely","Na Na Na (Na Na Na Na Na Na Na Na Na)","spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb","My Chemical Romance","spotify:album:2wPnKggTK3QhYAKL7Q0vvr","Danger Days: The True Lives of the Fabulous Killjoys","spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb","My Chemical Romance","2010-11-05","https://i.scdn.co/image/ab67616d0000b2736fbf4bb780a9cbc34b3f35da","1","2","205960","https://p.scdn.co/mp3-preview/67bf2886d9a6f6df4bdc87939457591c02a775e5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:3MjrueDQKVr6xDDseZwhEd","Figure It Out","spotify:artist:2S5hlvw4CMtMGswFtfdK15","Royal Blood","spotify:album:0BFzNaeaNv4mahOzwZFGHK","Royal Blood","spotify:artist:2S5hlvw4CMtMGswFtfdK15","Royal Blood","2014-08-22","https://i.scdn.co/image/ab67616d0000b27369471a9c0a6073a9beb81410","1","3","183602","https://p.scdn.co/mp3-preview/0ea6615d349d424861653e72d95c2288cc8d69c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:","2021-03-24T07:40:22Z"
"spotify:track:2UZtI2HUyLRzqBjodvcUmY","Rx (Medicate)","spotify:artist:74eX4C98E4FCrAMl39qRsJ","Theory of a Deadman","spotify:album:1P2L7DD1DCqb0VfpMyByLl","Wake Up Call","spotify:artist:74eX4C98E4FCrAMl39qRsJ","Theory of a Deadman","2017-10-27","https://i.scdn.co/image/ab67616d0000b273af7be01d388305b7308df2e1","1","2","233173","https://p.scdn.co/mp3-preview/9f469bdf015e441ab0679c92a98d80313585e4d4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","spotify:user:","2021-03-24T07:40:22Z"
