"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5sICkBXVmaCQk5aISGR3x1","Enter Sandman","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:2Kh43m04B1UkVcpcRa1Zug","Metallica","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1991-08-12","https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802","1","1","331266","","false","80","spotify:user:","2020-12-16T11:55:37Z"
"spotify:track:51TG9W3y9qyO8BY5RXKgnZ","Symphony Of Destruction","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","spotify:album:1w9opfGdFtR3ulNHxnnO1e","Countdown To Extinction","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","1992-07-14","https://i.scdn.co/image/ab67616d0000b2737b178f928742be1492c6fba2","1","2","246733","","false","72","spotify:user:","2020-12-16T11:55:37Z"
"spotify:track:7w6PJe5KBPyvuRYxFkPssC","No More Tears","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","spotify:album:6eh82ojicL8RSJF7GkYTh7","No More Tears (Expanded Edition)","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","1991-09-17","https://i.scdn.co/image/ab67616d0000b273c2b61984b54ad58c8d6fdd19","1","5","443240","https://p.scdn.co/mp3-preview/d84019910d52e25d7cf0a40e558bd3d6ec97f4f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:","2020-12-16T11:55:37Z"
"spotify:track:5CPXR6lDTvngxtmMZxnWmC","Pull Me Under","spotify:artist:2aaLAng2L2aWD2FClzwiep","Dream Theater","spotify:album:2QgGoL5VSQhPHudTObS7zK","Images and Words","spotify:artist:2aaLAng2L2aWD2FClzwiep","Dream Theater","1992-06-30","https://i.scdn.co/image/ab67616d0000b273f4d11b78efa76496f2acd618","1","1","493933","https://p.scdn.co/mp3-preview/4a65db5279bd31980b5986b9f9deef31f80009a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:","2020-12-16T11:55:37Z"
"spotify:track:0dlTGl67UFWcKupzkxZYOn","You Could Be Mine","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:00eiw4KOJZ7eC3NBEpmH4C","Use Your Illusion II","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1991-09-18","https://i.scdn.co/image/ab67616d0000b27392d21aef6c0d288cc4c05973","1","12","343640","","false","70","spotify:user:","2020-12-16T11:55:37Z"
"spotify:track:65JrmVnWM5KzM1WrXIY0tI","Hellraiser","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","spotify:album:3pbbbyxPPgBTAMbAcVzjex","March Or Die","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","1992-07-28","https://i.scdn.co/image/ab67616d0000b273ca932ec5d2574eda5efbcb6e","1","6","275160","https://p.scdn.co/mp3-preview/a86b0e9a62a31db70ce982fa902e9ae0610033f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:","2020-12-16T11:55:37Z"
"spotify:track:2R6UrJ8uWbSIiHWmvRQvN8","Whiskey In The Jar","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:0vshXZYhBkbIoqxyC2fXcF","Garage Inc.","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1998-01-01","https://i.scdn.co/image/ab67616d0000b27375e6375e11550746705a9645","1","9","304693","","false","73","spotify:user:","2020-12-16T11:55:37Z"
"spotify:track:2SgbR6ttzoNlCRGQOKjrop","Cowboys from Hell","spotify:artist:14pVkFUHDL207LzLHtSA18","Pantera","spotify:album:5szY4sBOSD6IFjFN1RtWTe","Cowboys from Hell","spotify:artist:14pVkFUHDL207LzLHtSA18","Pantera","1990-07-20","https://i.scdn.co/image/ab67616d0000b2730ce52f4ba340a1e459e6a978","1","1","243533","https://p.scdn.co/mp3-preview/3c390eff507ec1287a1dae98e32787d652f52de5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","spotify:user:","2020-12-16T11:55:37Z"
"spotify:track:0L7zm6afBEtrNKo6C6Gj08","Painkiller","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","spotify:album:7LgrhuKnAXpNEv8qzcVd2t","Painkiller","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","1990-09-26","https://i.scdn.co/image/ab67616d0000b27360db4ca924d17bc6754e89aa","1","1","365826","https://p.scdn.co/mp3-preview/e42a4de803594215aa4d244895f8d2abb1367697?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:","2020-12-16T11:55:37Z"
"spotify:track:57IEwDDEj8q9UQKc0MNR2x","Monkey Business","spotify:artist:4opTS86dN9uO313J9CE8xg","Skid Row","spotify:album:0AiXcZbksZoX2pSe2384Z3","Slave to the Grind","spotify:artist:4opTS86dN9uO313J9CE8xg","Skid Row","1991","https://i.scdn.co/image/ab67616d0000b2736def8b792dae19e81931de6e","1","1","258266","https://p.scdn.co/mp3-preview/9280453af80c5e9f6853677dba9bd5d0d1d0b961?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:","2020-12-16T11:55:37Z"
