"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0dlTGl67UFWcKupzkxZYOn","You Could Be Mine","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:00eiw4KOJZ7eC3NBEpmH4C","Use Your Illusion II","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1991-09-18","https://i.scdn.co/image/ab67616d0000b27392d21aef6c0d288cc4c05973","1","12","343640","","false","70","spotify:user:","2021-04-09T06:39:54Z"
"spotify:track:4ReyTz0y3TGkX48wO3Llot","Epic","spotify:artist:6GbCJZrI318Ybm8mY36Of5","Faith No More","spotify:album:6LEP3L94jnkqjOxYJWPRP0","The Real Thing","spotify:artist:6GbCJZrI318Ybm8mY36Of5","Faith No More","1989","https://i.scdn.co/image/ab67616d0000b273e081ef6de656ee714788ea0d","1","2","293653","https://p.scdn.co/mp3-preview/990d2a036460850226e2058f1dc9ad063e13dc61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:","2021-04-09T06:39:54Z"
"spotify:track:4avSaixVwu8uqfSs7zgoj3","Livin' On The Edge","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","spotify:album:1tuM8yBePaekEruGsH2J79","Get A Grip","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","1993-01-01","https://i.scdn.co/image/ab67616d0000b273587b26d49596162397b29ec8","1","5","380893","","false","60","spotify:user:","2021-04-09T06:39:54Z"
"spotify:track:2EoOZnxNgtmZaD8uUmz2nD","Black Hole Sun","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:29sTacnS0qA9xri6YS8xLA","Superunknown (Deluxe Edition)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b273ae6d8e36136353d550b2587d","1","7","318586","","false","76","spotify:user:","2021-04-09T06:39:54Z"
"spotify:track:1L94M3KIu7QluZe63g64rv","Alive","spotify:artist:1w5Kfo2jwwIPruYS2UWh56","Pearl Jam","spotify:album:5B4PYA7wNN4WdEXdIJu58a","Ten","spotify:artist:1w5Kfo2jwwIPruYS2UWh56","Pearl Jam","1991-08-27","https://i.scdn.co/image/ab67616d0000b273d400d27cba05bb0545533864","1","3","340907","https://p.scdn.co/mp3-preview/628f678adab15d9b2b8a144e4bdffd5b2c493436?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:","2021-04-09T06:39:54Z"
"spotify:track:0XwjdpwvEwukcg3XU4Ibzt","Blaze Of Glory","spotify:artist:6h2bWHWTJL38N8dqocVaif","Jon Bon Jovi","spotify:album:0tBfLeYdX3oBnl5NVpot4m","Cross Road","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","1994-10-18","https://i.scdn.co/image/ab67616d0000b2735f66fbeaff0725997250591c","1","9","340000","","false","52","spotify:user:","2021-04-09T06:39:54Z"
"spotify:track:22GbAGb80ZZNgm2yrBMnpR","Wherever I May Roam","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:2Kh43m04B1UkVcpcRa1Zug","Metallica","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1991-08-12","https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802","1","5","403866","","false","65","spotify:user:","2021-04-09T06:39:54Z"
"spotify:track:1O2ACd0zg4GYgQRhLBGYDV","Everything About You","spotify:artist:3XsgWn63EnA4wYZBjVyxjf","Ugly Kid Joe","spotify:album:5oukrASJpumQ9tUHxgK5Kj","As Ugly As It Gets: The Very Best Of","spotify:artist:3XsgWn63EnA4wYZBjVyxjf","Ugly Kid Joe","1998-01-01","https://i.scdn.co/image/ab67616d0000b2738c6b83804de9f12ada708f8a","1","4","255160","","true","55","spotify:user:","2021-04-09T06:39:54Z"
"spotify:track:1Z6lKdYhwp8WYoBqGCKxlM","Unskinny Bop","spotify:artist:1fBCIkoPOPCDLUxGuWNvyo","Poison","spotify:album:7alngtync76VqYWSKxcBhB","Flesh & Blood","spotify:artist:1fBCIkoPOPCDLUxGuWNvyo","Poison","1990","https://i.scdn.co/image/ab67616d0000b273ab1c39d5972e681e9662a35c","1","5","228066","","false","63","spotify:user:","2021-04-09T06:39:54Z"
"spotify:track:3YRCqOhFifThpSRFJ1VWFM","November Rain","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:0CxPbTRARqKUYighiEY9Sz","Use Your Illusion I","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1991-09-17","https://i.scdn.co/image/ab67616d0000b273e44963b8bb127552ac761873","1","10","536066","","false","80","spotify:user:","2021-04-09T06:39:54Z"
