"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:274jFVlDzqSsUh2PMlsuM7","Brittle","spotify:artist:1Jy0lTKAQDnTklKzF0g2o7","Icon For Hire","spotify:album:5my61AdRA8g0oBJjVDXcwB","Amorphous","spotify:artist:1Jy0lTKAQDnTklKzF0g2o7","Icon For Hire","2021-02-19","https://i.scdn.co/image/ab67616d0000b273a7d1bc2c919eb4e4fa9c6373","1","2","208500","https://p.scdn.co/mp3-preview/abb4bb71b774736c19888d5d7d357d05127981d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:","2021-04-09T14:21:15Z"
"spotify:track:1glkXrrq1qC6lhcNijksWb","Vertigo","spotify:artist:3rSpnCzb6wtsvZlGkkcHz4","Sumo Cyco","spotify:album:2zx6YAkUgWJDY1EyLF28Jc","Vertigo","spotify:artist:3rSpnCzb6wtsvZlGkkcHz4","Sumo Cyco","2021-04-08","https://i.scdn.co/image/ab67616d0000b273ccf1df7505c8a9e693f82c50","1","1","189946","","false","27","spotify:user:","2021-04-09T14:21:15Z"
"spotify:track:7pXR2dMRaCpxz5zOrE0lP9","Peacekeepers","spotify:artist:18RXUrxy1BYOOvrW0XuFBg","Metalite","spotify:album:6n6NSUl6ACzrurerNthgHh","Peacekeepers","spotify:artist:18RXUrxy1BYOOvrW0XuFBg","Metalite","2020-11-27","https://i.scdn.co/image/ab67616d0000b27379927e37a012986bd320a183","1","1","253880","https://p.scdn.co/mp3-preview/05e8b2850abc58187e244129b3ffde36f842ad30?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:","2021-04-09T14:21:15Z"
"spotify:track:5p8MkAxGr7LkiVvtuduiCD","Gravity","spotify:artist:6IN0ZavFCDhKZ2N3NT7E3z","Skarlett Riot","spotify:album:2WBcy59E3bZDlLXTrZK0AZ","Gravity","spotify:artist:6IN0ZavFCDhKZ2N3NT7E3z","Skarlett Riot","2020-12-11","https://i.scdn.co/image/ab67616d0000b27348e441eb6dff6f6e51cc8c7c","1","1","227478","https://p.scdn.co/mp3-preview/dfcdaa892ad2ece164ad12ddcff95ec1c8a4515b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:","2021-04-09T14:21:15Z"
"spotify:track:0Le2T1wm78Ycrtj7vdrCwG","Memoriam","spotify:artist:2L2rV1gDa17HwFcFCWBIAx","Eleine","spotify:album:61dUMU9JXCrHEHhXgu3yFC","Memoriam","spotify:artist:2L2rV1gDa17HwFcFCWBIAx","Eleine","2020-11-13","https://i.scdn.co/image/ab67616d0000b27345ec6fceefb51f0ab5913454","1","1","375186","https://p.scdn.co/mp3-preview/fb27d89173d867bb163599d5b1027816e98d8819?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:","2021-04-09T14:21:15Z"
"spotify:track:6pR3NxgHtficTizsYVRRmX","The Purge","spotify:artist:3hE8S8ohRErocpkY7uJW4a","Within Temptation","spotify:album:3niQnbWWHiZqnqOHdM9N0U","The Purge","spotify:artist:3hE8S8ohRErocpkY7uJW4a","Within Temptation","2020-11-20","https://i.scdn.co/image/ab67616d0000b27320933a2f0e536bd43ca6eeaa","1","1","256466","https://p.scdn.co/mp3-preview/6e2d00c4fe8daa00d3a09a72ce1200c98be259dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:","2021-04-09T14:21:15Z"
"spotify:track:5hSnN8wtaGNRgdERMeQIx1","Freedom - The Wolves Within-","spotify:artist:5HA5aLY3jJV7eimXWkRBBp","Epica","spotify:album:3MVad7SlfyPymJjJ1g6yk9","Freedom - The Wolves Within","spotify:artist:5HA5aLY3jJV7eimXWkRBBp","Epica","2020-11-27","https://i.scdn.co/image/ab67616d0000b2732df591bc2e532c339f1c7d4b","1","1","337058","","false","41","spotify:user:","2021-04-09T14:21:15Z"
"spotify:track:00i9VF7sjSaTqblAuKFBDO","Talk To Me (feat. Lzzy Hale)","spotify:artist:4Lm0pUvmisUHMdoky5ch2I, spotify:artist:3Nbau9SoiH72jmJdUTqjOY","Apocalyptica, Lzzy Hale","spotify:album:3W8ep9kCGVEf5TLFtRRB2T","Talk To Me (feat. Lzzy Hale)","spotify:artist:4Lm0pUvmisUHMdoky5ch2I, spotify:artist:3Nbau9SoiH72jmJdUTqjOY","Apocalyptica, Lzzy Hale","2020-08-21","https://i.scdn.co/image/ab67616d0000b273e4006fb07fcd9e2d32130026","1","1","208021","https://p.scdn.co/mp3-preview/2354861f508f8aa2e519c75322270b0912249a55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2021-04-09T14:21:15Z"
"spotify:track:6lKyAAxp5Rl7HHoU39AQfS","The Race","spotify:artist:4PJpzyQV2oBuVew8BXjBnX","Phantom Elite","spotify:album:421Nn2bUhsnMxP1oiV9Q2F","The Race","spotify:artist:4PJpzyQV2oBuVew8BXjBnX","Phantom Elite","2020-11-30","https://i.scdn.co/image/ab67616d0000b273fba85980b48faf7847518eb8","1","1","230920","https://p.scdn.co/mp3-preview/0949541b311ca1b30e18e66a567818046bfabe02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:","2021-04-09T14:21:15Z"
"spotify:track:1FFuIUSAYyuhT4Myem8tgT","Ghost Myself","spotify:artist:6jMXENspOIBHOTQNQDTxsW","DIAMANTE","spotify:album:3DvF9spIyVvxXlndS0AR3F","Ghost Myself","spotify:artist:6jMXENspOIBHOTQNQDTxsW","DIAMANTE","2020-05-29","https://i.scdn.co/image/ab67616d0000b2732ecb7c2501c4e1b67cc6020c","1","1","192000","https://p.scdn.co/mp3-preview/a6068eafefeabb4d14f9ce2da5875928f52538d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:","2021-04-09T14:21:15Z"
"spotify:track:6xrsNVrcVdTgoR7ikHWZWX","Last Dance","spotify:artist:6FcvjJzvxgybo7Ywsj0hRj","Butcher Babies","spotify:album:6Tayomr8QmeU9u0f2GJ0Vt","Last Dance","spotify:artist:6FcvjJzvxgybo7Ywsj0hRj","Butcher Babies","2021-04-02","https://i.scdn.co/image/ab67616d0000b273e743d892b5547c22a9be61fe","1","1","211875","https://p.scdn.co/mp3-preview/134594d840cc7f63f5c27a8248dea7ba231faf7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:","2021-04-09T14:21:15Z"
"spotify:track:5iIcD91VQtDPPXRzyUKg1m","Eternal Wheel Of Time And Space","spotify:artist:3GN2WYCDZUjOFlHMwZjcCA","Noora Louhimo Experience","spotify:album:6zXIyHCsYlwXrL3WL5ZKgz","Eternal Wheel Of Time And Space","spotify:artist:3GN2WYCDZUjOFlHMwZjcCA","Noora Louhimo Experience","2021-02-05","https://i.scdn.co/image/ab67616d0000b273c338035b9b18397191f812fa","1","1","404320","https://p.scdn.co/mp3-preview/9cb8ef272283910d3ad517b616cb50ba95481106?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2021-04-09T14:21:15Z"
"spotify:track:0UY45tlfKBdZhhku10TBEc","Yeah Right","spotify:artist:5nGIFgo0shDenQYSE0Sn7c","Evanescence","spotify:album:4Iz5ekk3xTAlml2xuo406P","Yeah Right","spotify:artist:5nGIFgo0shDenQYSE0Sn7c","Evanescence","2020-12-04","https://i.scdn.co/image/ab67616d0000b2734c92f70289f9dfe784ec4ee6","1","1","210518","https://p.scdn.co/mp3-preview/68206a5ac1baef7f25345a6ca8f58f5783072979?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","spotify:user:","2021-04-09T14:21:15Z"
"spotify:track:4vzlN6pMehztFUIdNlei1m","Sleeping with the Enemy","spotify:artist:6FcvjJzvxgybo7Ywsj0hRj","Butcher Babies","spotify:album:3xGmtGuHsGeKBr9mMvAseA","Sleeping with the Enemy","spotify:artist:6FcvjJzvxgybo7Ywsj0hRj","Butcher Babies","2020-12-11","https://i.scdn.co/image/ab67616d0000b27325faa86ea5901d4ee1be90a4","1","1","212927","https://p.scdn.co/mp3-preview/df65430dc8e4594bb668605804dbe5ccddb56d00?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:","2021-04-09T14:21:15Z"
"spotify:track:28aQT80RVsVsD1X98WCew1","Archangel","spotify:artist:2KaW48xlLnXC2v8tvyhWsa","Amaranthe","spotify:album:3nwMvp5aCT0IUYXNATk4b2","Archangel","spotify:artist:2KaW48xlLnXC2v8tvyhWsa","Amaranthe","2020-09-18","https://i.scdn.co/image/ab67616d0000b2737c869b142b42643f56c23dc9","1","1","203373","","false","21","spotify:user:","2021-04-09T14:21:15Z"
