"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:204523f9MSgEfc0oDJycNS","Fast as a Shark","spotify:artist:3JDIAtVrJdQ7GFOX26LYpv","Accept","spotify:album:0xym0raBJhG64y1Oc179TX","Restless And Wild","spotify:artist:3JDIAtVrJdQ7GFOX26LYpv","Accept","1982","https://i.scdn.co/image/ab67616d0000b2730ce89f3d163be2a8ff73a06f","1","1","228666","https://p.scdn.co/mp3-preview/e67b3ad5c5a67a847dc4ecd14265173d4bfce8f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","","2021-04-15T11:52:00Z"
"spotify:track:4TIJ7zSBNejpoIPaWpWRKc","Rebel Yell","spotify:artist:7lzordPuZEXxwt9aoVZYmG","Billy Idol","spotify:album:2FZNWUmgRoP8uJZBaHJdfj","Rebel Yell","spotify:artist:7lzordPuZEXxwt9aoVZYmG","Billy Idol","1983-11-01","https://i.scdn.co/image/ab67616d0000b273ea07dca8b4ca808c1e5b17fb","1","1","288533","","false","73","","2021-04-15T11:42:42Z"
"spotify:track:6fybp4N6eW3bsFAvARxyVe","Ain't Talkin' 'Bout Love - 2015 Remaster","spotify:artist:2cnMpRsOVqtPMfq7YiFE6K","Van Halen","spotify:album:7DdEbYFPKTZ8KB4z6L4UnQ","Van Halen (Remastered)","spotify:artist:2cnMpRsOVqtPMfq7YiFE6K","Van Halen","1978-02-10","https://i.scdn.co/image/ab67616d0000b27317dd812df38fed44d6d2036e","1","4","227800","https://p.scdn.co/mp3-preview/bdac15637a4626fb77c608fd71a7e9b00bda178e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","","2021-04-15T10:48:14Z"
"spotify:track:0NByfOtKge32j77jYtU1az","Hallelujah","spotify:artist:7dWw3TXxNe2aEhng9vVRNl","Axel Rudi Pell","spotify:album:1qw6I9x1R6gtWKZJDV6YKD","The Ballads IV","spotify:artist:7dWw3TXxNe2aEhng9vVRNl","Axel Rudi Pell","2011-09-23","https://i.scdn.co/image/ab67616d0000b273b9a73cdd28f0c6488639d2ac","1","3","256946","https://p.scdn.co/mp3-preview/9b5f09a6c8600782c94823479fd42c3c287e6cd8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","","2021-04-01T09:22:09Z"
"spotify:track:43thLwzSasUUZEYjYPeJh3","Close My Eyes Forever","spotify:artist:77tBvvyd6SD4Y9Um1xcbxP, spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Lita Ford, Ozzy Osbourne","spotify:album:5nfd1bXqze24U3EZXP1Qlk","Lita","spotify:artist:77tBvvyd6SD4Y9Um1xcbxP","Lita Ford","1988-02-01","https://i.scdn.co/image/ab67616d0000b2732dbf0cc843a4a0fe8c8f5482","1","9","283133","https://p.scdn.co/mp3-preview/19c5e02fd234d9aa92b41ea265223ee50b10ff45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","","2021-02-05T07:04:24Z"
"spotify:track:4ZCLM74MYhUy80TPiaAuee","When the Children Cry","spotify:artist:3nLYJvqbEzs5kg2TlprxIG","White Lion","spotify:album:571UdIx8tcDmBPgLSW8KG2","Pride","spotify:artist:3nLYJvqbEzs5kg2TlprxIG","White Lion","1987","https://i.scdn.co/image/ab67616d0000b273512d0dd80663f528b6cb43ed","1","10","258600","https://p.scdn.co/mp3-preview/c9126a1a948fcf67e650298bf3649105ebf5c059?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","","2021-02-05T06:59:52Z"
"spotify:track:0qgrrDnUUhyxpxbBznUnzg","18 and Life","spotify:artist:4opTS86dN9uO313J9CE8xg","Skid Row","spotify:album:0kSTuMp9GpX9pJR45Bksgi","Skid Row","spotify:artist:4opTS86dN9uO313J9CE8xg","Skid Row","1989-01-24","https://i.scdn.co/image/ab67616d0000b273ae63b58e90bef8888658ae21","1","5","229960","https://p.scdn.co/mp3-preview/902c83db7111a73bb508dd5d981621be8cf3e5e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","","2021-02-05T06:56:25Z"
"spotify:track:7xPGvZaG9W7UOrCgEwbONe","The Bard's Song - In the Forest - Remastered 2007","spotify:artist:7jxJ25p0pPjk0MStloN6o6","Blind Guardian","spotify:album:4oruHZSLyTDKPNY2VQIlCS","Somewhere Far Beyond (Remastered 2007)","spotify:artist:7jxJ25p0pPjk0MStloN6o6","Blind Guardian","1992-06-30","https://i.scdn.co/image/ab67616d0000b273e8c8f9410e7fe5fc25910fc2","1","7","189893","https://p.scdn.co/mp3-preview/bf4c2b32961f51c6a980f86dbff6061f1e986582?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","","2020-12-24T13:56:38Z"
"spotify:track:7lU6eDXavfCFdWi9XyYBca","We Don't Celebrate Sundays","spotify:artist:57b3sKD9pGilMb2QlMqArq","Hardcore Superstar","spotify:album:33UinpGwmZkI3yjOByeFHD","Hardcore Superstar (Reloaded)","spotify:artist:57b3sKD9pGilMb2QlMqArq","Hardcore Superstar","2009-10-16","https://i.scdn.co/image/ab67616d0000b273b2fd84063aa1fee4db0b69d9","1","5","229920","https://p.scdn.co/mp3-preview/5286770149f7a4b8ff6363b1c24fd8483f4ef392?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","","2020-12-18T06:14:23Z"
"spotify:track:3crIa21lfjekujCQuGjlJT","Teutonic Terror","spotify:artist:3JDIAtVrJdQ7GFOX26LYpv","Accept","spotify:album:0sUtCw0dDv0KC8zrnxlmY4","Blood of the Nations","spotify:artist:3JDIAtVrJdQ7GFOX26LYpv","Accept","2010-08-20","https://i.scdn.co/image/ab67616d0000b27339bcae6f92f8ba8941dc2fb1","1","2","313586","https://p.scdn.co/mp3-preview/bd348882322571f2f45d5052ea2f496497c9934d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","","2020-12-15T15:42:32Z"
