"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2RaA6kIcvomt77qlIgGhCT","Breaking the Law","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","spotify:album:5bqtZRbUZUxUps8mrO9tGY","British Steel","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","1980","https://i.scdn.co/image/ab67616d0000b273be0e5ebab8c61469b1ff9f62","1","3","153840","https://p.scdn.co/mp3-preview/2045675c3ff30411c283de17ddcf3952efd9234e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:5qFxuUIAwJlzO60vqOiL7y","Rainbow In The Dark","spotify:artist:4CYeVo5iZbtYGBN4Isc3n6","Dio","spotify:album:1QJmLRcuIMMjZ49elafR3K","Holy Diver","spotify:artist:4CYeVo5iZbtYGBN4Isc3n6","Dio","1983","https://i.scdn.co/image/ab67616d0000b27315350aa1c89e23a5fa6c0de1","1","8","252693","","false","65","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:5qrNtSNkPsWfjqaYNugzYT","Rock You Like a Hurricane - 2015 - Remaster","spotify:artist:27T030eWyCQRmDyuvr1kxY","Scorpions","spotify:album:1FcFWr00ABVqIcgiPvgvZJ","Love At First Sting","spotify:artist:27T030eWyCQRmDyuvr1kxY","Scorpions","1984","https://i.scdn.co/image/ab67616d0000b273710da29f8bb258934078f884","1","2","253666","","false","0","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:3HzWxmvpQU3QHQ59zw1X4V","Heaven and Hell - 2009 Remaster","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:0Dj2B19o99FcJii6aPvMTr","Heaven & Hell","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1980-04-25","https://i.scdn.co/image/ab67616d0000b2731714d5e8b43f9e63572d550d","1","4","417840","https://p.scdn.co/mp3-preview/160db635490b1411f8630aa22c03eb724687e986?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:3AVZaAbDvR6rs2NN4n0aAF","Ace of Spades","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","spotify:album:0sbAKeTchIsRqECNFjPHSf","Ace of Spades (Deluxe Edition)","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","1980-11-07","https://i.scdn.co/image/ab67616d0000b273f2fca6e64d8944d8e623ec93","1","1","166706","","false","0","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:4f3RDq9nYPBeR1yMSgnmBm","You've Got Another Thing Coming","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","spotify:album:55MZQrenomrTq0aQneC7Pi","Screaming For Vengeance Special 30th Anniversary Edition","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","1982","https://i.scdn.co/image/ab67616d0000b273475bd4fb40ba687fbf002c82","1","8","310080","https://p.scdn.co/mp3-preview/a887493b2a5995230f606074a43f14a9410f9be6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:3uMmllZo1AfoEnVT4ENCD3","Highway Star - Remastered 2012","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","spotify:album:32NQ56VZDTXSH3SMv4XSGN","Machine Head (Remastered)","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","1972-03-25","https://i.scdn.co/image/ab67616d0000b273a729c9c3dec04b99d889c66f","1","1","366136","","false","68","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:7txxAtOMwLLnQTpKeBL6bp","Mother","spotify:artist:34c4iQ5tkaZKu6Sv28BTde","Danzig","spotify:album:3elIDlrTtrgKfbxYVgp3uW","Danzig","spotify:artist:34c4iQ5tkaZKu6Sv28BTde","Danzig","1988-01-01","https://i.scdn.co/image/ab67616d0000b273bc8d8db760af7b9d0c91747f","1","6","204866","","true","71","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:2JS1iE5A5RHvUPH5Zl9jlF","Run to the Hills - 1998 Remastered Version","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:6q5MEna6Fg46powSoeZJe3","The Number Of The Beast (1998 Remastered Edition)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1982","https://i.scdn.co/image/ab67616d0000b273a633718a1d28f157193bd865","1","6","233960","","false","0","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:1jzDzZWeSDBg5fhNc3tczV","Paranoid","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:132qAo1cDiEJdA3fv4xyNK","Paranoid (2009 Remastered Version)","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1970-09-18","https://i.scdn.co/image/ab67616d0000b2739683e5d7361bb80bfb00f46d","1","2","168440","https://p.scdn.co/mp3-preview/c3c74a5d2214f66307037df432d0ba2480e708fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:54yLLvpezvPO1lA3GspiZj","Holy Diver","spotify:artist:4CYeVo5iZbtYGBN4Isc3n6","Dio","spotify:album:1QJmLRcuIMMjZ49elafR3K","Holy Diver","spotify:artist:4CYeVo5iZbtYGBN4Isc3n6","Dio","1983","https://i.scdn.co/image/ab67616d0000b27315350aa1c89e23a5fa6c0de1","1","2","340640","","false","66","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:51TG9W3y9qyO8BY5RXKgnZ","Symphony Of Destruction","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","spotify:album:1w9opfGdFtR3ulNHxnnO1e","Countdown To Extinction","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","1992-07-14","https://i.scdn.co/image/ab67616d0000b2737b178f928742be1492c6fba2","1","2","246733","","false","72","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:28sMmBCmfHoy6NjZnovEYG","Balls to the Wall","spotify:artist:3JDIAtVrJdQ7GFOX26LYpv","Accept","spotify:album:2ogbkPbabA9E5LFXiFhDas","Balls To The Wall","spotify:artist:3JDIAtVrJdQ7GFOX26LYpv","Accept","1983","https://i.scdn.co/image/ab67616d0000b2739672ce1224cb4a7d334cb256","1","1","342600","https://p.scdn.co/mp3-preview/f17ccce8323b75f9181adb36212204aa04c153bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:4PSiPZp8MYMDZzuBhCLgc6","Wasted Years - 1998 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:6Iqmuo6t66LmiO3al7U8ZD","Somewhere In Time","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1986","https://i.scdn.co/image/ab67616d0000b2734a800fb5499fda0849af7f89","1","2","307573","","false","0","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:0IXpUl1fn2QZcBavfuq0H4","Living After Midnight","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","spotify:album:5bqtZRbUZUxUps8mrO9tGY","British Steel","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","1980","https://i.scdn.co/image/ab67616d0000b273be0e5ebab8c61469b1ff9f62","1","7","210133","https://p.scdn.co/mp3-preview/00ffd4275dc22c09331d0524aeb9ca6b586572af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:70Z9t1qhytWtG4cCmmi7mU","I Wanna Rock","spotify:artist:7b85ve82Sh36a3UAx74wut","Twisted Sister","spotify:album:0dzqapIToiOhULGvzDKpXm","Stay Hungry","spotify:artist:7b85ve82Sh36a3UAx74wut","Twisted Sister","1984-05-10","https://i.scdn.co/image/ab67616d0000b2733469ef94acfa666fde83dec5","1","5","179760","https://p.scdn.co/mp3-preview/79a4a3dafaa7570ea888cc4dc7a9a049162986ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:521gC8oqqmUknLZpodHOh9","Perfect Strangers","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","spotify:album:6qbsMDJ0kNKlROFRiK3uQB","Perfect Strangers","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","1984","https://i.scdn.co/image/ab67616d0000b273d517e371476b4420131ede41","1","5","328426","","false","0","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:5fIZDuxfuM4tANRHZ8Btju","The Last In Line","spotify:artist:4CYeVo5iZbtYGBN4Isc3n6","Dio","spotify:album:0FBCDPcLk2iVKttn1uqHQW","The Last In Line (Deluxe Edition)","spotify:artist:4CYeVo5iZbtYGBN4Isc3n6","Dio","1984","https://i.scdn.co/image/ab67616d0000b27320656ec399a0b212afc31d30","1","2","343173","","false","56","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:2tAeN2TKlQLOoSPXtARzBV","Eruption - 2015 Remaster","spotify:artist:2cnMpRsOVqtPMfq7YiFE6K","Van Halen","spotify:album:7DdEbYFPKTZ8KB4z6L4UnQ","Van Halen (Remastered)","spotify:artist:2cnMpRsOVqtPMfq7YiFE6K","Van Halen","1978-02-10","https://i.scdn.co/image/ab67616d0000b27317dd812df38fed44d6d2036e","1","2","102080","https://p.scdn.co/mp3-preview/06af5d61b27cb305d4cfe00175084840f1b641a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:4HzdhXWJqczW6gOIXT6QRH","Iron Man","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:7DBES3oV6jjAmWob7kJg6P","Paranoid (Remastered)","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1970-09-18","https://i.scdn.co/image/ab67616d0000b273d07e207ce654bec0813d028d","1","4","354773","","false","0","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:3vV3cr2TpPqFk07zxYUbla","Cum on Feel the Noize","spotify:artist:1dLWg6m8RRhizsdqJbhyj3","Quiet Riot","spotify:album:3Q3rQ8FK1e9Fd9Gv9xm3CK","Metal Health","spotify:artist:1dLWg6m8RRhizsdqJbhyj3","Quiet Riot","1983","https://i.scdn.co/image/ab67616d0000b27321fbdd09672c5f8bcfd66165","1","2","290960","https://p.scdn.co/mp3-preview/b3c2c5eb87db215a7bf0c52fd806080e2f502274?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:7w6PJe5KBPyvuRYxFkPssC","No More Tears","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","spotify:album:6eh82ojicL8RSJF7GkYTh7","No More Tears (Expanded Edition)","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","1991-09-17","https://i.scdn.co/image/ab67616d0000b273c2b61984b54ad58c8d6fdd19","1","5","443240","https://p.scdn.co/mp3-preview/d84019910d52e25d7cf0a40e558bd3d6ec97f4f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:5MMnwYs0hIxkENRsbkWJ2G","Smoke On The Water - Remastered 2012","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","spotify:album:32NQ56VZDTXSH3SMv4XSGN","Machine Head (Remastered)","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","1972-03-25","https://i.scdn.co/image/ab67616d0000b273a729c9c3dec04b99d889c66f","1","5","340742","","false","75","spotify:user:","2021-02-26T14:29:54Z"
"spotify:track:6aYXSH9JZrD30Av2KlAOMY","2 Minutes to Midnight - 1998 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:4hFcwazEjeg3gJEu0AuxM7","Powerslave (1998 Remastered Edition)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1984","https://i.scdn.co/image/ab67616d0000b2732dfddae87fa3a8a09bc5b666","1","2","359760","","false","0","spotify:user:","2021-02-26T14:29:54Z"
