"Track URI";"Track Name";"Artist URI(s)";"Artist Name(s)";"Album URI";"Album Name";"Album Artist URI(s)";"Album Artist Name(s)";"Album Release Date";"Album Image URL";"Disc Number";"Track Number";"Track Duration (ms)";"Track Preview URL";"Explicit";"Popularity";"Added By";"Added At"
"spotify:track:4e1sizUvzt4tOquIcEmDpm";"Let the Fire Rain";"spotify:artist:3t5X2CVDf5mrlIx1SdvWYM";"Orden Ogan";"spotify:album:7IUt3b9v6otoNjqG6WdLbc";"Let the Fire Rain";"spotify:artist:3t5X2CVDf5mrlIx1SdvWYM";"Orden Ogan";"2021-02-19";"https://i.scdn.co/image/ab67616d0000b27333bd8eebf3285ec2f4c951e3";"1";"1";"275746";"https://p.scdn.co/mp3-preview/b244e941f1a14aa90d68bcd77750c31cc2573283?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"56";"spotify:user:";"2021-04-09T13:58:41Z"
"spotify:track:6IVKiq8Xxhvg03MUtu5smv";"The Skeleton Key";"spotify:artist:5HA5aLY3jJV7eimXWkRBBp";"Epica";"spotify:album:4Hb5cbP4Z9H9G1HavAra4q";"Omega";"spotify:artist:5HA5aLY3jJV7eimXWkRBBp";"Epica";"2021-02-26";"https://i.scdn.co/image/ab67616d0000b2739c939252c5024c6584db122b";"1";"3";"306346";"https://p.scdn.co/mp3-preview/6b2fd726b74840a593ba104993e6e65cee03e539?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"60";"spotify:user:";"2021-04-09T13:58:41Z"
"spotify:track:75YX0XH3dLamMxfut44LOo";"Voyage Voyage";"spotify:artist:5FXMcILCOMjljRTV6cLoiE";"Sirenia";"spotify:album:3zjOOho4Y5Rcc6LUK8yAhl";"Voyage Voyage";"spotify:artist:5FXMcILCOMjljRTV6cLoiE";"Sirenia";"2021-02-10";"https://i.scdn.co/image/ab67616d0000b2734e640d8327c83dd4a931f074";"1";"1";"258564";"";"false";"37";"spotify:user:";"2021-04-09T13:58:41Z"
"spotify:track:3zKFDfTcVmIJQ0Kfuqgfzl";"Falling";"spotify:artist:1nSYsxBoOs3Cvi6j6WDXdS";"MoonSun";"spotify:album:3UWBCocviw7iIxEVn10YL0";"Falling";"spotify:artist:1nSYsxBoOs3Cvi6j6WDXdS";"MoonSun";"2021-02-19";"https://i.scdn.co/image/ab67616d0000b273012e58aa9f8bf761f226ce9a";"1";"1";"297403";"https://p.scdn.co/mp3-preview/14b4feffde913edf30f0b800bb922751694ba049?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"44";"spotify:user:";"2021-04-09T13:58:41Z"
"spotify:track:6vJjgVkfEvoH45vNVnJqNj";"Starlight";"spotify:artist:2xpyJhcZFhoo81Umj5NIzy";"Imperia";"spotify:album:3vKaXBrgdrQOwauhIMr5uy";"Starlight";"spotify:artist:2xpyJhcZFhoo81Umj5NIzy";"Imperia";"2021-02-08";"https://i.scdn.co/image/ab67616d0000b2730b12843cb22246e8ce63e22d";"1";"1";"326160";"https://p.scdn.co/mp3-preview/9bcdeca874d3bb7b9ccc44249273074e6f10bb94?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"45";"spotify:user:";"2021-04-09T13:58:41Z"
"spotify:track:7zcL9Z95bPLFbowuAtY9Bw";"In The Name Of Love (feat. Cyan Kicks)";"spotify:artist:0c09mxGbMHuFLpPJMY6JdA; spotify:artist:6nA097TpH4DgdzRYFXAXry";"Arion; Cyan Kicks";"spotify:album:1BPZ8JJZTv6CFDoyU7kJY7";"In The Name Of Love (feat. Cyan Kicks)";"spotify:artist:0c09mxGbMHuFLpPJMY6JdA; spotify:artist:6nA097TpH4DgdzRYFXAXry";"Arion; Cyan Kicks";"2021-02-05";"https://i.scdn.co/image/ab67616d0000b273c36aaea6e2f296c3ed656eaa";"1";"1";"252893";"https://p.scdn.co/mp3-preview/cae8f3a13fdee9fff40a8f4865787e2c52686d78?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"35";"spotify:user:";"2021-04-09T13:58:41Z"
"spotify:track:49O37nbIIp7JsmI65OXDWD";"The Séance";"spotify:artist:6PXQUX3BYTSVj7LcvviOmI";"Blackbriar";"spotify:album:5mSx3qsX7azaEwYaQ1RE5V";"The Séance";"spotify:artist:6PXQUX3BYTSVj7LcvviOmI";"Blackbriar";"2021-02-19";"https://i.scdn.co/image/ab67616d0000b27303f5808ed43f32a5f494ab69";"1";"1";"222367";"https://p.scdn.co/mp3-preview/e7bcc37c673d201aaecf8080885656db94463d91?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"48";"spotify:user:";"2021-04-09T13:58:41Z"
"spotify:track:6hAYbPSzILcsjxhId7ILLy";"Cloud Connected";"spotify:artist:18RXUrxy1BYOOvrW0XuFBg";"Metalite";"spotify:album:2Jh3N37zJQBE4TrDP3T0KE";"Cloud Connected";"spotify:artist:18RXUrxy1BYOOvrW0XuFBg";"Metalite";"2021-02-26";"https://i.scdn.co/image/ab67616d0000b273479c472c25c0e94d5a5b5cb9";"1";"1";"228013";"https://p.scdn.co/mp3-preview/79e6793c7bf5e49fcda3c60310d37a170ef38756?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"46";"spotify:user:";"2021-04-09T13:58:41Z"
"spotify:track:7pczoeIkihynLe4VgWEQUx";"Ghost of Marley";"spotify:artist:52lkxAYfC9ypaPJ2EB22ki";"Majestica";"spotify:album:6wENRoHkOij2hS1s8DKUOL";"Ghost of Marley";"spotify:artist:52lkxAYfC9ypaPJ2EB22ki";"Majestica";"2020-11-20";"https://i.scdn.co/image/ab67616d0000b273cc9d2076698eb2e5ac088f94";"1";"1";"279000";"";"false";"4";"spotify:user:";"2021-04-09T13:58:41Z"
"spotify:track:2Fn6YAHjuM0Th4L0QCvwUV";"Chain of the Golden Horn";"spotify:artist:63qODcvBCdG2kTguOJkEqJ";"Leaves' Eyes";"spotify:album:7vGhZpOO230V2JKMNYcWXj";"Chain of the Golden Horn";"spotify:artist:63qODcvBCdG2kTguOJkEqJ";"Leaves' Eyes";"2020-09-18";"https://i.scdn.co/image/ab67616d0000b2736c5d0757352d2888e290412b";"1";"1";"240130";"https://p.scdn.co/mp3-preview/80dca7dc3d9adf5a2149ed5aa2a395cee933b5eb?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"47";"spotify:user:";"2021-04-09T13:58:41Z"
