name;duration;genre_id;disc_number;track_number;;uri;explicit;popularity
99;238813;137;1;2;;https://p.scdn.co/mp3-preview/e00ea811380473151fedcb8c0bf4f3368a903b10?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;52
1969;290259;94;1;1;;https://p.scdn.co/mp3-preview/f9c2bd157216c51252e2a50fde53c3acb77b8ebe?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;40
1985;333000;9;1;2;;https://p.scdn.co/mp3-preview/dccc1939f31ac646c414b81be92783411eff1efa?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;33
1999;379266;92;1;1;;https://p.scdn.co/mp3-preview/a9e29b17391150efb9a933faf491db7ea17f8274?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;63
18 and Life;229960;149;1;5;;https://p.scdn.co/mp3-preview/902c83db7111a73bb508dd5d981621be8cf3e5e8?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;69
2000 Miles;219066;40;1;10;;https://p.scdn.co/mp3-preview/da183ce1aa09c8379b008a328dbf90ef4fa5a14b?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;20
30/30-150;258066;95;1;1;;https://p.scdn.co/mp3-preview/149da20d828f1d73b725854baad3acba4f7fec63?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;45
3AM;225946;22;1;3;;https://p.scdn.co/mp3-preview/cb68c9ae8925bb3fc45544e5f21de17df18b957d?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;71
5x3;197507;135;1;1;;https://p.scdn.co/mp3-preview/afc7e9ae2bf354777584ba585bc7a9af5cc06488?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;48
7 Days;237373;137;1;2;;https://p.scdn.co/mp3-preview/001ccfb26c737db5ae1fff62ea2bcb68249e6d7a?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;53
7 Seconds (feat. Neneh Cherry);305773;149;1;4;;https://p.scdn.co/mp3-preview/72c8a9b926add83568b2ec9b1aad18994ce2b73c?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;60
A Dangerous Meeting;312760;93;1;1;;https://p.scdn.co/mp3-preview/be4cd2665198a7ba077663e5ce155faf94338e7b?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;47
A Design for Life - Remastered;257640;1;1;2;;https://p.scdn.co/mp3-preview/a283cb381df21a5b05a5bdd2574a3a7deb6c16f0?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;56
A Dying God Coming into Human Flesh;339186;22;1;3;;https://p.scdn.co/mp3-preview/d352333157fd87192095bfc16d7eab6eb6c73e75?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;47
A Girl Like You;236583;137;1;2;;https://p.scdn.co/mp3-preview/99fe2118c18157a910b9d8e52464681dbc828fa1?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;64
A Groovy Kind of Love - 2016 Remaster;210346;79;2;2;;https://p.scdn.co/mp3-preview/e8b7fcc4d474fdf65403efadeb4fc889d8b28c14?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;56
A Horse with No Name;252239;94;1;5;;https://p.scdn.co/mp3-preview/39160b959b9c3ef5eb82314160eb168af167ac3b?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;78
A Journey to Remember;246108;94;1;1;;https://p.scdn.co/mp3-preview/5c2830c1e35011a5f9af1dee9d045883b30d5bd8?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;12
A Match Made In Heaven;228017;95;1;7;;https://p.scdn.co/mp3-preview/496eb7d4070ff7b46c6179b2239675c5397aa080?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;54
A Message to You Rudy;173800;92;1;14;;https://p.scdn.co/mp3-preview/6101c025aaf7da03d5a0c5e1481d8f9515d370d7?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;40
A Pain all Mine;222251;95;1;3;;https://p.scdn.co/mp3-preview/6122a420435a6387fb3d4bda33820f128104673c?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;36
A Perfect Day to Die;230680;79;1;1;;https://p.scdn.co/mp3-preview/d91de45530f4cf51b4e8652cb59b81f97b82d33a?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;41
A Return to the Earth Below;339120;79;1;1;;https://p.scdn.co/mp3-preview/887fdf67f5ba7f819156d6da55fca87b696275c2?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;34
A Statue of the King;224589;121;1;7;;https://p.scdn.co/mp3-preview/757aaf9d9fd9c96027dd6d951ea68547b58e20df?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;44
A Tale That Wasn't Right;283693;40;1;5;;https://p.scdn.co/mp3-preview/68468b7cf96f5b74e7fbf5bf719ed81f462d383d?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;55
A Trigger Full of Promises;228720;92;1;1;;https://p.scdn.co/mp3-preview/6cf3e4976c05268d29fc5953a24fc336b77cc14e?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;44
A Wolf in My Heart;252360;149;1;2;;https://p.scdn.co/mp3-preview/eb5a4765c9e5b152fa83ab30a96432fc376d3cd3?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;42
Abigail;290693;22;1;8;;https://p.scdn.co/mp3-preview/53ea46cdd683f8674e487011dada5f5ad9064a58?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;48
Above the Sky;351276;93;1;1;;https://p.scdn.co/mp3-preview/0143eb9bef4bb4b138af9989fa3375019a363e1c?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;44
Absolute Zero;229840;138;1;2;;https://p.scdn.co/mp3-preview/983929e901391ec240108eec4f74227566991fc1?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;68
Abyss;404093;95;1;1;;https://p.scdn.co/mp3-preview/31c2785e27ac049f7200307bcc2b9c4f76a3b3c4?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;41
Ace of Spades;166920;121;1;1;;https://p.scdn.co/mp3-preview/34cf36a576042c34fa6dee1a6c9da3dec4e54d62?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;75
Addiction No. 1;243030;40;1;1;;https://p.scdn.co/mp3-preview/04525901f0d89bf26b475db536a59b1c178d4a7c?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;39
Afraid to Shoot Strangers - 2015 Remaster;416560;92;1;3;;https://p.scdn.co/mp3-preview/25836128050fa81733aee5b825b78629fcb77dd2?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;54
Africa;295893;79;1;10;;https://p.scdn.co/mp3-preview/4551544dbf630ad584de356432e8afbd84b96914?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;83
Age of Reason;306226;149;1;6;;https://p.scdn.co/mp3-preview/8c44c39c2c3f34cdb9411a86a99c45f841ffb60d?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;37
Agent Orange;365320;92;1;1;;https://p.scdn.co/mp3-preview/6fc3f1fde1685ff9236ca6fd73b54e0e53624d98?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;49
Ain't It Fun;296520;93;1;6;;https://p.scdn.co/mp3-preview/9918253a683eafc0f9223491b2f868036e201627?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;75
Ain't No Sunshine;125093;137;1;2;;https://p.scdn.co/mp3-preview/2f56920743ab7da6d3d6331868dd23bbe72cd063?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;78
Ain't Nobody;280853;93;1;1;;https://p.scdn.co/mp3-preview/e5cd67a489b715e0387c7da863ae368ce63b8dfe?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;70
Ain't Talkin' 'Bout Love - 2015 Remaster;227800;94;1;4;;https://p.scdn.co/mp3-preview/bdac15637a4626fb77c608fd71a7e9b00bda178e?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;67
Alive;285493;17;1;11;;https://p.scdn.co/mp3-preview/7470b0c7314ec4355381411cbfa906174cb2eece?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;46
Alive;340907;79;1;3;;https://p.scdn.co/mp3-preview/628f678adab15d9b2b8a144e4bdffd5b2c493436?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;76
All Along the Watchtower;240800;149;1;15;;https://p.scdn.co/mp3-preview/5eec2933740ab3984340d5f004813f8275e1bb97?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;78
All for the Kingdom;250840;17;1;1;;https://p.scdn.co/mp3-preview/a0525f5e511dab412b6899831facd957904845ba?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;31
All I Want;196333;138;1;10;;https://p.scdn.co/mp3-preview/4791a5807bca793c0fca00fd34cfce8b37e74a35?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;60
All I Want for Christmas Is You;241106;121;1;2;;https://p.scdn.co/mp3-preview/bbafd15ff484394a0ca106d5fef0a81eeea4ef5b?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;69
All Mixed Up;179600;94;1;4;;https://p.scdn.co/mp3-preview/3da3b31d9ab71660ea7bd2750baae6547876304f?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;63
All of Me;269560;17;1;6;;https://p.scdn.co/mp3-preview/488c53471e56ff9f629652691444438951e880bb?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;86
All Out Life;340132;40;1;1;;https://p.scdn.co/mp3-preview/947245ddb8660d082178ab8262a9c977a7b8964a?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;66
