"Track URI";"Track Name";"Artist URI(s)";"Artist Name(s)";"Album URI";"Album Name";"Album Artist URI(s)";"Album Artist Name(s)";"Album Release Date";"Album Image URL";"Disc Number";"Track Number";"Track Duration (ms)";"Track Preview URL";"Explicit";"Popularity";"Added By";"Added At"
"spotify:track:4TDpf3g3PUl7fzHXuL2UUY";"Still Of The Night";"spotify:artist:3UbyYnvNIT5DFXU4WgiGpP";"Whitesnake";"spotify:album:2blYrXKaFgwCjI3PbNCfI6";"Here I Go Again: The Whitesnake Collection";"spotify:artist:3UbyYnvNIT5DFXU4WgiGpP";"Whitesnake";"2002-01-01";"https://i.scdn.co/image/ab67616d0000b2738e043e5c39d40f584699bafa";"1";"14";"400106";"";"false";"27";"spotify:user:";"2020-11-30T16:38:52Z"
"spotify:track:0qgrrDnUUhyxpxbBznUnzg";"18 and Life";"spotify:artist:4opTS86dN9uO313J9CE8xg";"Skid Row";"spotify:album:0kSTuMp9GpX9pJR45Bksgi";"Skid Row";"spotify:artist:4opTS86dN9uO313J9CE8xg";"Skid Row";"1989-01-24";"https://i.scdn.co/image/ab67616d0000b273ae63b58e90bef8888658ae21";"1";"5";"229960";"https://p.scdn.co/mp3-preview/902c83db7111a73bb508dd5d981621be8cf3e5e8?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"69";"spotify:user:";"2020-11-30T16:38:52Z"
"spotify:track:5MxNLUsfh7uzROypsoO5qe";"Dream On";"spotify:artist:7Ey4PD4MYsKc5I2dolUwbH";"Aerosmith";"spotify:album:19lEZSnCCbVEkKchoPQWDZ";"Aerosmith";"spotify:artist:7Ey4PD4MYsKc5I2dolUwbH";"Aerosmith";"1973-01-05";"https://i.scdn.co/image/ab67616d0000b273b11078ee23dcd99e085ac33e";"1";"3";"266960";"https://p.scdn.co/mp3-preview/4c7fea33f70ea10631656c9bccace988ee2aaa42?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"79";"spotify:user:";"2020-11-30T16:38:52Z"
"spotify:track:6olS0TmHmsGr0hXtcBsiVM";"A Tout Le Monde - Remastered 2004";"spotify:artist:1Yox196W7bzVNZI7RBaPnf";"Megadeth";"spotify:album:5UvUjC3G4UKSrwOeBA0qob";"Youthanasia";"spotify:artist:1Yox196W7bzVNZI7RBaPnf";"Megadeth";"1994-10-28";"https://i.scdn.co/image/ab67616d0000b2733171798d5cfc745f0ba24c84";"1";"4";"262133";"";"false";"65";"spotify:user:";"2020-11-30T16:38:52Z"
"spotify:track:5XcZRgJv3zMhTqCyESjQrF";"Poison";"spotify:artist:3EhbVgyfGd7HkpsagwL9GS";"Alice Cooper";"spotify:album:033cvSPAuSU5ArRfIgQSDU";"Trash";"spotify:artist:3EhbVgyfGd7HkpsagwL9GS";"Alice Cooper";"1989-07-25";"https://i.scdn.co/image/ab67616d0000b2735d149c05419231f335e35bb7";"1";"1";"270080";"https://p.scdn.co/mp3-preview/9974e5f534cce09666a7013c639edc451f1652e8?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"73";"spotify:user:";"2020-11-30T16:38:52Z"
"spotify:track:0S3gpZzlT9Hb7CCSV2owX7";"Mama; I'm Coming Home";"spotify:artist:6ZLTlhejhndI4Rh53vYhrY";"Ozzy Osbourne";"spotify:album:6eh82ojicL8RSJF7GkYTh7";"No More Tears (Expanded Edition)";"spotify:artist:6ZLTlhejhndI4Rh53vYhrY";"Ozzy Osbourne";"1991-09-17";"https://i.scdn.co/image/ab67616d0000b273c2b61984b54ad58c8d6fdd19";"1";"3";"251866";"https://p.scdn.co/mp3-preview/30222e11e6be0d1a8e26ae570fda5dd993a7fd6b?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"69";"spotify:user:";"2020-11-30T16:38:52Z"
"spotify:track:12oSzrBIyirNs0aCwk6elL";"Fade To Black";"spotify:artist:2ye2Wgw4gimLv2eAKyk1NB";"Metallica";"spotify:album:7a1dlwArQK6OCHkr2SNlZR";"Ride The Lightning";"spotify:artist:2ye2Wgw4gimLv2eAKyk1NB";"Metallica";"1984-07-27";"https://i.scdn.co/image/ab67616d0000b273b273e0a4432dbcff6df50e05";"1";"4";"417400";"";"false";"0";"spotify:user:";"2020-11-30T16:38:52Z"
"spotify:track:5yahjXIZBkm9xu0asR3KTe";"Cemetery Gates - 2003 Remaster";"spotify:artist:14pVkFUHDL207LzLHtSA18";"Pantera";"spotify:album:2pEiQl69yF4PZDXIBoZjaH";"The Best of Pantera: Far Beyond the Great Southern Cowboy's Vulgar Hits";"spotify:artist:14pVkFUHDL207LzLHtSA18";"Pantera";"2003-09-23";"https://i.scdn.co/image/ab67616d0000b2736c71e77009543b83cb9ab762";"1";"2";"423013";"https://p.scdn.co/mp3-preview/577ea46eeb0078e371abb57cc56ab3a44d4240cb?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"45";"spotify:user:";"2020-11-30T16:38:52Z"
"spotify:track:1fvlJQrm3yoN2TpKH5FgiR";"Tears of the Dragon - 2001 Remastered Version";"spotify:artist:7Iffw1nP3NjCWkRIx3Ily9";"Bruce Dickinson";"spotify:album:6Jbj3GyCsicdHpMDlMchN8";"Balls To Picasso (2001 Remastered Version)";"spotify:artist:7Iffw1nP3NjCWkRIx3Ily9";"Bruce Dickinson";"1994-06-03";"https://i.scdn.co/image/ab67616d0000b273e94f9420e4b721f2c9a78377";"1";"10";"384013";"https://p.scdn.co/mp3-preview/4edf0c3fccabcb85838bf2fad3025a6c3f1e7e23?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"62";"spotify:user:";"2020-11-30T16:38:52Z"
"spotify:track:4JiEyzf0Md7KEFFGWDDdCr";"Knockin' On Heaven's Door";"spotify:artist:3qm84nBOXUEQ2vnTfUTTFC";"Guns N' Roses";"spotify:album:00eiw4KOJZ7eC3NBEpmH4C";"Use Your Illusion II";"spotify:artist:3qm84nBOXUEQ2vnTfUTTFC";"Guns N' Roses";"1991-09-18";"https://i.scdn.co/image/ab67616d0000b27392d21aef6c0d288cc4c05973";"1";"4";"336000";"";"false";"77";"spotify:user:";"2020-11-30T16:38:52Z"
"spotify:track:5iF683hJagzos663BxLns9";"The Price";"spotify:artist:7b85ve82Sh36a3UAx74wut";"Twisted Sister";"spotify:album:0dzqapIToiOhULGvzDKpXm";"Stay Hungry";"spotify:artist:7b85ve82Sh36a3UAx74wut";"Twisted Sister";"1984-05-10";"https://i.scdn.co/image/ab67616d0000b2733469ef94acfa666fde83dec5";"1";"6";"229493";"https://p.scdn.co/mp3-preview/388a9a2974e2768ae82c4befee813dd0e74ecb14?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"57";"spotify:user:";"2020-11-30T16:38:52Z"
"spotify:track:4zXvB4MoQD8onk0NCZbeHG";"Home Sweet Home";"spotify:artist:0cc6vw3VN8YlIcvr1v7tBL";"Mötley Crüe";"spotify:album:18fYN6Hlig5t7ObBfQYUPe";"Theatre of Pain";"spotify:artist:0cc6vw3VN8YlIcvr1v7tBL";"Mötley Crüe";"1985";"https://i.scdn.co/image/ab67616d0000b27391f5ee49ad8fa5da6f4bcfcf";"1";"5";"240933";"https://p.scdn.co/mp3-preview/a1c6b90fd23e72c1dd9dcc764a3c14448168cf2b?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"70";"spotify:user:";"2020-11-30T16:38:52Z"
"spotify:track:25suYHVUwWFTG6G31kuhZH";"Screaming in the Night";"spotify:artist:4YveAIZNQZBiWbt7iWsvCa";"Krokus";"spotify:album:1QTVIHunxbQf1dT4fXH9DO";"Head Hunter";"spotify:artist:4YveAIZNQZBiWbt7iWsvCa";"Krokus";"1983";"https://i.scdn.co/image/ab67616d0000b2733be5ab1a4c3fcb07d7bfe67f";"1";"3";"397773";"https://p.scdn.co/mp3-preview/78ff62ded42be5c63a816321d4d17fccb4c47fc1?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"53";"spotify:user:";"2020-11-30T16:38:52Z"
"spotify:track:2CURikRfaKPervqY62sYxw";"Alone Again - Remastered";"spotify:artist:09hNSPPOxDop4FRdr6UEnq";"Dokken";"spotify:album:1vSlhlbh0SW0OBMz4qkNVc";"Rhino Hi-Five: Dokken";"spotify:artist:09hNSPPOxDop4FRdr6UEnq";"Dokken";"2006-05-16";"https://i.scdn.co/image/ab67616d0000b27325deace9ee6e363de2547419";"1";"1";"262000";"https://p.scdn.co/mp3-preview/d352707e84eaad7cd729d47081472bda2dfd2ed5?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"39";"spotify:user:";"2020-11-30T16:38:52Z"
"spotify:track:2ZjTthIga0KHuFgNut1W9d";"Beyond the Realms of Death";"spotify:artist:2tRsMl4eGxwoNabM08Dm4I";"Judas Priest";"spotify:album:3Mvzsgk8nTtX8TnrxAtcbg";"Stained Class";"spotify:artist:2tRsMl4eGxwoNabM08Dm4I";"Judas Priest";"1978";"https://i.scdn.co/image/ab67616d0000b273dd8f5df4cada9a22743139b1";"1";"8";"409800";"";"false";"0";"spotify:user:";"2020-11-30T16:38:52Z"
