"Track URI";"Track Name";"Artist URI(s)";"Artist Name(s)";"Album URI";"Album Name";"Album Artist URI(s)";"Album Artist Name(s)";"Album Release Date";"Album Image URL";"Disc Number";"Track Number";"Track Duration (ms)";"Track Preview URL";"Explicit";"Popularity";"Added By";"Added At"
"spotify:track:1jzDzZWeSDBg5fhNc3tczV";"Paranoid";"spotify:artist:5M52tdBnJaKSvOpJGz8mfZ";"Black Sabbath";"spotify:album:132qAo1cDiEJdA3fv4xyNK";"Paranoid (2009 Remastered Version)";"spotify:artist:5M52tdBnJaKSvOpJGz8mfZ";"Black Sabbath";"1970-09-18";"https://i.scdn.co/image/ab67616d0000b2739683e5d7361bb80bfb00f46d";"1";"2";"168440";"https://p.scdn.co/mp3-preview/c3c74a5d2214f66307037df432d0ba2480e708fe?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"78";"spotify:user:";"2020-03-05T14:01:46Z"
"spotify:track:78lgmZwycJ3nzsdgmPPGNx";"Immigrant Song - Remaster";"spotify:artist:36QJpDe2go2KgaRleHCDTp";"Led Zeppelin";"spotify:album:6P5QHz4XtxOmS5EuiGIPut";"Led Zeppelin III (Remaster)";"spotify:artist:36QJpDe2go2KgaRleHCDTp";"Led Zeppelin";"1970";"https://i.scdn.co/image/ab67616d0000b27390a50cfe99a4c19ff3cbfbdb";"1";"1";"146250";"https://p.scdn.co/mp3-preview/8455599677a13017978dcd3f4b210937f0a16bcb?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"78";"spotify:user:";"2020-03-05T14:01:46Z"
"spotify:track:3AVZaAbDvR6rs2NN4n0aAF";"Ace of Spades";"spotify:artist:1DFr97A9HnbV3SKTJFu62M";"Motörhead";"spotify:album:0sbAKeTchIsRqECNFjPHSf";"Ace of Spades (Deluxe Edition)";"spotify:artist:1DFr97A9HnbV3SKTJFu62M";"Motörhead";"1980-11-07";"https://i.scdn.co/image/ab67616d0000b273f2fca6e64d8944d8e623ec93";"1";"1";"166706";"";"false";"0";"spotify:user:";"2020-03-05T14:01:46Z"
"spotify:track:3uMmllZo1AfoEnVT4ENCD3";"Highway Star - Remastered 2012";"spotify:artist:568ZhdwyaiCyOGJRtNYhWf";"Deep Purple";"spotify:album:32NQ56VZDTXSH3SMv4XSGN";"Machine Head (Remastered)";"spotify:artist:568ZhdwyaiCyOGJRtNYhWf";"Deep Purple";"1972-03-25";"https://i.scdn.co/image/ab67616d0000b273a729c9c3dec04b99d889c66f";"1";"1";"366136";"";"false";"68";"spotify:user:";"2020-03-05T14:01:46Z"
"spotify:track:54yLLvpezvPO1lA3GspiZj";"Holy Diver";"spotify:artist:4CYeVo5iZbtYGBN4Isc3n6";"Dio";"spotify:album:1QJmLRcuIMMjZ49elafR3K";"Holy Diver";"spotify:artist:4CYeVo5iZbtYGBN4Isc3n6";"Dio";"1983";"https://i.scdn.co/image/ab67616d0000b27315350aa1c89e23a5fa6c0de1";"1";"2";"340640";"";"false";"66";"spotify:user:";"2020-03-05T14:01:46Z"
"spotify:track:2lRhq1ZfHNiaVNHkTWeXUv";"Long Live Rock N Roll";"spotify:artist:6SLAMfhOi7UJI0fMztaK0m";"Rainbow";"spotify:album:56JX1fNOjTa7Bj7G18nxSq";"Long Live Rock N Roll (Deluxe Edition)";"spotify:artist:6SLAMfhOi7UJI0fMztaK0m";"Rainbow";"1978";"https://i.scdn.co/image/ab67616d0000b273b475f1f6fc613cb5bd90a3e8";"1";"1";"261733";"";"false";"55";"spotify:user:";"2020-03-05T14:01:46Z"
"spotify:track:6KTv0Z8BmVqM7DPxbGzpVC";"Rock And Roll All Nite";"spotify:artist:07XSN3sPlIlB2L2XNcTwJw";"KISS";"spotify:album:1YCC4oZXg2zGn7pVSKVlGF";"Dressed To Kill";"spotify:artist:07XSN3sPlIlB2L2XNcTwJw";"KISS";"1975-03-19";"https://i.scdn.co/image/ab67616d0000b27365a7b0a6969f0efcde4b5aca";"1";"10";"168840";"";"false";"76";"spotify:user:";"2020-03-05T14:01:46Z"
"spotify:track:2zYzyRzz6pRmhPzyfMEC8s";"Highway to Hell";"spotify:artist:711MCceyCBcFnzjGY4Q7Un";"AC/DC";"spotify:album:10v912xgTZbjAtYfyKWJCS";"Highway to Hell";"spotify:artist:711MCceyCBcFnzjGY4Q7Un";"AC/DC";"1979-07-27";"https://i.scdn.co/image/ab67616d0000b27351c02a77d09dfcd53c8676d0";"1";"1";"208400";"https://p.scdn.co/mp3-preview/db138a9742397601a1e5fdde727967956bdad0fb?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"83";"spotify:user:";"2020-03-05T14:01:46Z"
"spotify:track:5Z8EDau8uNcP1E8JvmfkZe";"School's Out";"spotify:artist:3EhbVgyfGd7HkpsagwL9GS";"Alice Cooper";"spotify:album:0zKjnOsXxs63unPR6TWoHq";"School's Out";"spotify:artist:3EhbVgyfGd7HkpsagwL9GS";"Alice Cooper";"1972";"https://i.scdn.co/image/ab67616d0000b273daea75027fe361bdc24c81cd";"1";"1";"210106";"https://p.scdn.co/mp3-preview/f399de2969ba2f0568fd1ec6aa8accdea1c311a9?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"68";"spotify:user:";"2020-03-05T14:01:46Z"
"spotify:track:2RaA6kIcvomt77qlIgGhCT";"Breaking the Law";"spotify:artist:2tRsMl4eGxwoNabM08Dm4I";"Judas Priest";"spotify:album:5bqtZRbUZUxUps8mrO9tGY";"British Steel";"spotify:artist:2tRsMl4eGxwoNabM08Dm4I";"Judas Priest";"1980";"https://i.scdn.co/image/ab67616d0000b273be0e5ebab8c61469b1ff9f62";"1";"3";"153840";"https://p.scdn.co/mp3-preview/2045675c3ff30411c283de17ddcf3952efd9234e?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"71";"spotify:user:";"2020-03-05T14:01:46Z"
