"Track URI";"Track Name";"Artist URI(s)";"Artist Name(s)";"Album URI";"Album Name";"Album Artist URI(s)";"Album Artist Name(s)";"Album Release Date";"Album Image URL";"Disc Number";"Track Number";"Track Duration (ms)";"Track Preview URL";"Explicit";"Popularity";"Added By";"Added At"
"spotify:track:2093eVNfimjmNjU1gk1ES7";"Unsainted";"spotify:artist:05fG473iIaoy82BF1aGhL8";"Slipknot";"spotify:album:6OmUwiZBss5csDAD3IAhdD";"Unsainted";"spotify:artist:05fG473iIaoy82BF1aGhL8";"Slipknot";"2019-05-16";"https://i.scdn.co/image/ab67616d0000b27319018a2d261a6e4c262ca1ba";"1";"1";"260276";"";"true";"29";"spotify:user:";"2020-12-17T11:15:19Z"
"spotify:track:6Q1m1GyNxyOwZ2ud3p7XoS";"Gasoline";"spotify:artist:3Uobr6LgQpBbk6k4QGAb3V";"I Prevail";"spotify:album:2QRU8jGOJHDMrCTPKIHVik";"TRAUMA";"spotify:artist:3Uobr6LgQpBbk6k4QGAb3V";"I Prevail";"2019-03-29";"https://i.scdn.co/image/ab67616d0000b27324261dc1d55e438883664bfd";"1";"7";"153613";"";"true";"67";"spotify:user:";"2020-12-17T11:15:19Z"
"spotify:track:3fnqNxjN7o0tJe7zOQZV68";"Catastrophist";"spotify:artist:278ZYwGhdK6QTzE3MFePnP";"Trivium";"spotify:album:0aXIJYbWk4u41iJmoJmp8y";"What The Dead Men Say";"spotify:artist:278ZYwGhdK6QTzE3MFePnP";"Trivium";"2020-04-24";"https://i.scdn.co/image/ab67616d0000b273f11a218563f0edfa7940fc94";"1";"3";"388035";"https://p.scdn.co/mp3-preview/ee1e932e0e452b8e53cfc29b816e4bfc27db965f?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"62";"spotify:user:";"2020-12-17T11:15:19Z"
"spotify:track:0NuJFB16j54ZDp6Z0U1pr4";"Koolaid";"spotify:artist:3JDIAtVrJdQ7GFOX26LYpv";"Accept";"spotify:album:0KMJOukt7jI7eBUFNg5ViB";"The Rise of Chaos";"spotify:artist:3JDIAtVrJdQ7GFOX26LYpv";"Accept";"2017-08-04";"https://i.scdn.co/image/ab67616d0000b2732fae302ff73000dbdf81e36f";"1";"4";"299720";"";"false";"0";"spotify:user:";"2020-12-17T11:15:19Z"
"spotify:track:6qopop1Rc9r1RjEIBQhc8d";"Lightning Strike";"spotify:artist:2tRsMl4eGxwoNabM08Dm4I";"Judas Priest";"spotify:album:7p3G0OCxtlWyJcPE1FxnyB";"FIREPOWER";"spotify:artist:2tRsMl4eGxwoNabM08Dm4I";"Judas Priest";"2018-03-09";"https://i.scdn.co/image/ab67616d0000b2735c48f1b63e4b70cf96ffb088";"1";"2";"209453";"https://p.scdn.co/mp3-preview/87049f4ea1bb0bc5f1cc7cee29b3a3920e81e79d?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"54";"spotify:user:";"2020-12-17T11:15:19Z"
"spotify:track:0hGw6iEofYncs0hMTT09Dm";"Dangerous Ground";"spotify:artist:7M4PCSo5DDasGginrPHSDd";"H.E.A.T";"spotify:album:7mYVhch2AqHIkNWNUmCxv0";"H.E.A.T II";"spotify:artist:7M4PCSo5DDasGginrPHSDd";"H.E.A.T";"2020-02-21";"https://i.scdn.co/image/ab67616d0000b27390dc32cd42ce46b853375734";"1";"2";"246826";"https://p.scdn.co/mp3-preview/5f3c8239e076ec02f157319a1f3fe632e27ef5ad?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"44";"spotify:user:";"2020-12-17T11:15:19Z"
"spotify:track:4pIKFpwflOdhYNIRmPTj3E";"Dance Macabre";"spotify:artist:1Qp56T7n950O3EGMsSl81D";"Ghost";"spotify:album:6128JCa2uBqHWia5AzJOKV";"Prequelle";"spotify:artist:1Qp56T7n950O3EGMsSl81D";"Ghost";"2018-06-01";"https://i.scdn.co/image/ab67616d0000b273d12e0639819f09e00d73410e";"1";"6";"219720";"";"false";"60";"spotify:user:";"2020-12-17T11:15:19Z"
"spotify:track:7v1sK9Otv2XZVwkghA5R61";"Tomorrow's No Concern";"spotify:artist:2pD123sZTm8brthWviUKlQ";"Dee Snider";"spotify:album:3hltBVcsoTwKuShT41jBBf";"For The Love Of Metal";"spotify:artist:2pD123sZTm8brthWviUKlQ";"Dee Snider";"2018-07-27";"https://i.scdn.co/image/ab67616d0000b2732e69a97c942d40b5318ba226";"1";"2";"199586";"";"false";"23";"spotify:user:";"2020-12-17T11:15:19Z"
"spotify:track:3TjQAc2PzWzlSDrnq61J1y";"The Devil's Bleeding Crown";"spotify:artist:0L5fC7Ogm2YwgqVCRcF1bT";"Volbeat";"spotify:album:3v78ZZiv9L2Fb5x5fC8kVC";"Seal The Deal & Let's Boogie (Deluxe)";"spotify:artist:0L5fC7Ogm2YwgqVCRcF1bT";"Volbeat";"2016-06-03";"https://i.scdn.co/image/ab67616d0000b273af770a3e65634b9ed7b00e8c";"1";"1";"238653";"";"false";"65";"spotify:user:";"2020-12-17T11:15:19Z"
"spotify:track:5VnRYDDrqturQPvKg4puwu";"Hardwired";"spotify:artist:2ye2Wgw4gimLv2eAKyk1NB";"Metallica";"spotify:album:6BAWrCZig4yVNuJrHSwK4p";"Hardwired…To Self-Destruct";"spotify:artist:2ye2Wgw4gimLv2eAKyk1NB";"Metallica";"2016-11-18";"https://i.scdn.co/image/ab67616d0000b273b02dd21e1baa15b3c8897f07";"1";"1";"189347";"";"true";"0";"spotify:user:";"2020-12-17T11:15:19Z"
